Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Ninos y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,Porcentaje No,Votos por el Si,Porcentaje Si,Votos validos,Votos totales,Cuantos salieron a votar,Abstencion,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
Buenaventura,Valle del Cauca,57515,0.1166,64316,0.3101,Santos,0.1835,84130,0.4056,Santos,219150,2.92,28.04,626.01,25.63,0.5,0.12,0.06,0,Alto,3,17670,0.2934,42565,0.7066,60235,62389,0.2847,0.7153,0.087,No,Si,627.86,0
Guadalajara de Buga,Valle del Cauca,28900,0.167,41336,0.4325,Santos,0.297,45185,0.4727,Santos,100078,0.48,3.01,68.93,22.34,0.25,0.03,0.24,0.3,Ninguno,0,20572,0.4954,20956,0.5046,41528,42281,0.4225,0.5775,0.1406,No,No,0,0
Bugalagrande,Valle del Cauca,7608,0.1379,7513,0.3911,Santos,0.2578,9300,0.4841,Santos,19020,1.85,10.32,309.32,47.57,0.95,0.47,0.52,4.4,Bajo,1,2934,0.4245,3977,0.5755,6911,7101,0.3733,0.6267,0.4398,No,No,0,0
Caicedonia,Valle del Cauca,9028,0.2795,11554,0.4123,Ramirez,0.644,12646,0.4513,Zuluaga,28321,1.35,6.59,83.77,32.8,0.44,0,0,0,Ninguno,0,6106,0.6111,3886,0.3889,9992,10321,0.3644,0.6356,0.184,No,No,0,0
Calima el Darien,Valle del Cauca,4358,0.2361,4833,0.3535,Santos,0.4065,5778,0.4226,Santos,13908,1.39,19.82,179.44,23.68,0.7,0.32,0.06,2.98,Bajo,1,2349,0.5121,2238,0.4879,4587,4705,0.3383,0.6617,0.406,No,Si,24.36,0
Candelaria,Valle del Cauca,21197,0.1329,25026,0.3827,Santos,0.2385,28414,0.4346,Santos,68548,0.16,1.25,10.95,3.9,0.06,0.01,0,0,Ninguno,0,12525,0.5347,10898,0.4653,23423,23999,0.3501,0.6499,0.7221,No,No,0,0
Cartago,Valle del Cauca,34573,0.2677,40016,0.3694,Zuluaga,0.5346,46410,0.4284,Zuluaga,111785,0.18,1.99,14.63,6.75,0.1,0.02,0,0,Ninguno,0,24101,0.6188,14845,0.3812,38946,39722,0.3553,0.6447,0.0154,No,No,0,0
Dagua,Valle del Cauca,11390,0.3906,12332,0.3689,Zuluaga,0.4664,15754,0.4712,Santos,35005,5.97,45.75,318.04,49.75,1.37,0.19,0.33,0,Bajo,1,5858,0.5566,4666,0.4434,10524,10754,0.3072,0.6928,0.7761,No,Si,3.14,0
El Aguila,Valle del Cauca,2887,0.3908,3237,0.3952,Zuluaga,0.8222,3757,0.4587,Zuluaga,8127,1.08,13.86,139.99,38.96,0.54,0.27,0.09,0,Ninguno,0,1949,0.6911,871,0.3089,2820,2896,0.3563,0.6437,0.7584,No,No,0,0
El Cairo,Valle del Cauca,2103,0.2864,2353,0.3503,Santos,0.7187,2744,0.4085,Zuluaga,6723,0.5,6.67,146.47,42.49,0.7,0.2,0,0,Ninguno,0,919,0.4965,932,0.5035,1851,1935,0.2878,0.7122,0.7155,No,No,0,0
El Cerrito,Valle del Cauca,13485,0.1297,18227,0.3548,Santos,0.2458,22392,0.4359,Santos,51868,0.38,1.78,41.23,9.9,0.12,0.03,0,0,Ninguno,0,8732,0.4821,9380,0.5179,18112,18476,0.3562,0.6438,0.3824,No,No,0,0
El Dovio,Valle del Cauca,3042,0.1752,3431,0.3541,Ramirez,0.4985,4084,0.4216,Zuluaga,9808,1.43,41.28,612.47,59.95,1.19,0.36,0,1.55,Bajo,1,1987,0.6715,972,0.3285,2959,3042,0.3102,0.6898,0.4077,No,No,0,0
Florida,Valle del Cauca,13050,0.1479,16117,0.3355,Lopez,0.2568,20383,0.4243,Santos,50135,2.67,7.82,110.21,46.36,0.51,0.22,1.66,0,Bajo,1,7906,0.433,10354,0.567,18260,18826,0.3755,0.6245,0.2613,No,No,0,0
Ginebra,Valle del Cauca,5697,0.2036,6305,0.4079,Santos,0.3822,7688,0.4973,Santos,16309,1.88,5.98,46.56,16.2,0.14,0,0.05,0,Ninguno,0,3263,0.5063,3182,0.4937,6445,6619,0.4058,0.5942,0.5248,No,No,0,0
Guacari,Valle del Cauca,8826,0.1084,10493,0.394,Santos,0.1883,13724,0.5153,Santos,27420,0.75,2.39,28.16,17.13,0.2,0,0.06,0,Ninguno,0,4555,0.4405,5786,0.5595,10341,10586,0.3861,0.6139,0.4017,No,No,0,0
Jamundi,Valle del Cauca,25432,0.1695,33401,0.3664,Santos,0.2718,38221,0.4193,Santos,96350,1.56,14.55,85.23,22.44,0.31,0.14,0.06,0,Bajo,1,15665,0.4645,18060,0.5355,33725,34404,0.3571,0.6429,0.3187,No,Si,18.44,0
La Cumbre,Valle del Cauca,4633,0.228,4579,0.3721,Santos,0.4362,5413,0.4398,Santos,12758,0.43,13.84,110.79,24.3,0.17,0,0.17,0,Ninguno,0,2022,0.4982,2037,0.5018,4059,4132,0.3239,0.6761,0.7844,No,No,0,0
La Union,Valle del Cauca,8801,0.2684,11755,0.4641,Ramirez,0.6885,12386,0.489,Zuluaga,26489,0.76,3.52,34.68,17.05,0.23,0,0,0,Ninguno,0,7386,0.7257,2792,0.2743,10178,10429,0.3937,0.6063,0.2155,No,No,0,0
La Victoria,Valle del Cauca,3617,0.2412,4408,0.3868,Ramirez,0.5266,4861,0.4266,Zuluaga,11609,1.06,5.62,63.34,19.06,0.15,0,0,0,Ninguno,0,2234,0.5365,1930,0.4635,4164,4260,0.367,0.633,0.292,No,No,0,0
Obando,Valle del Cauca,4084,0.2254,4415,0.3954,Santos,0.4409,5072,0.4542,Santos,11185,0.27,3.65,39.05,22.64,0.13,0,0,0,Ninguno,0,1970,0.5551,1579,0.4449,3549,3657,0.327,0.673,0.2628,No,No,0,0
Palmira,Valle del Cauca,73006,0.1548,90074,0.37,Santos,0.2702,105148,0.4319,Santos,261731,0.4,2.16,19.47,4.87,0.12,0.01,0.09,0,Bajo,1,45431,0.4556,54278,0.5444,99709,101380,0.3873,0.6127,0.198,No,No,0,0
Pradera,Valle del Cauca,14161,0.1846,14482,0.3723,Santos,0.2923,17884,0.4597,Santos,39766,6.11,10.42,117.1,17.64,0.21,0.13,0.77,0,Ninguno,0,7263,0.4895,7574,0.5105,14837,15215,0.3826,0.6174,0.128,No,No,0,0
Restrepo,Valle del Cauca,3881,0.2776,4477,0.3152,Santos,0.4246,5506,0.3876,Santos,14911,0.74,5.72,83.03,34.54,0.43,0.06,0,0,Ninguno,0,2574,0.5916,1777,0.4084,4351,4447,0.2982,0.7018,0.4413,No,No,0,0
